Document,Topic,Label,Probability,Question
3,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.5686,site:hcmut.edu.vn điểm chuẩn ngành vi mạch năm 2025 HCMUT
14,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.0892,"site:hcmut.edu.vn ""Chất lượng cao"" ""Tiên tiến"" ""Kỹ năng xã hội"" ""Kỹ năng mềm"" tín chỉ ngoại khóa"
15,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.2738,site:hcmut.edu.vn điều kiện học thêm ngành thứ hai đào tạo song ngành điểm trung bình tích lũy thời điểm đăng ký HCMUT
16,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.3141,"site:hcmut.edu.vn ""Chương trình mức độ năm"" HCMUT đối tượng"
22,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,1.0000,HCMUT Khoa học máy tính định hướng Nhật Bản học phí 2025
30,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,1.0000,HCMUT Điểm Chuẩn Tuyển Sinh Đại học Chính Quy 2025 Mã ngành 1XX
31,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.4406,site:hcmut.edu.vn tuyển sinh thạc sĩ HCMUT năm 2026 thời gian nộp hồ sơ
32,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.2665,site:hcmut.edu.vn tuyển sinh thạc sĩ HCMUT năm nay thời gian nộp hồ sơ
35,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,0.4799,điểm chuẩn ngành Kỹ thuật Hàng không 2025 Đại học Bách Khoa TP.HCM
51,0,Thông tin tuyển sinh và điểm chuẩn Đại học Bách Khoa TP.HCM,1.0000,điểm xét tuyển ngành khoa học máy tính tiếng Nhật Đại học Bách Khoa TP.HCM 2023
5,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,"HCMUT ""Xét tuyển Tổng hợp"" Chỉ tiêu là gì"
10,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,0.2744,HCMUT điều kiện được nghỉ học tạm thời
13,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT chương trình Tài năng tiêu chí bắt buộc nghiên cứu khoa học hoạt động ngoại khóa sinh viên
18,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,0.1961,HCMUT BKeL giảng viên không đưa tài liệu lên BKeL sẽ bị xử lý như thế nào
33,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,điều kiện học lực chương trình trao đổi sinh viên nước ngoài Đại học Bách Khoa TP.HCM
36,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,0.1430,Các trường hợp sinh viên bị buộc thôi học Đại học Bách Khoa TP.HCM bị buộc thôi học khi nào
39,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,"Người dùng chào hỏi 'Hello bạn' — cách trả lời chào hỏi, giới thiệu trợ lý ảo của trường Đại học Bách Khoa TP.HCM, hỏi hỗ trợ thông tin về trường"
41,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,0.1389,1 sinh viên bị buộc thôi học
49,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,các phương thức xét tuyển của Đại học Bách Khoa TP.HCM
50,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,1.0000,quy định đồ án tốt nghiệp Đại học Bách Khoa TP.HCM
55,1,Quy định và thủ tục học tập tại Đại học Bách Khoa TP.HCM,0.5744,Hệ thống hỗ trợ hỏi đáp của Đại học Bách Khoa TP.HCM do ai phát triển
42,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,1.0000,Trường Đại học Bách Khoa TP.HCM có bao nhiêu khoa
46,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,1.0000,Trường Đại học Bách Khoa TP.HCM có bao nhiêu khoa?
47,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,1.0000,Đại học Bách Khoa TP.HCM có bao nhiêu khoa giảng dạy
53,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,0.5634,Trường Đại học Bách khoa - ĐHQG-HCM thành lập năm nào
54,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,0.6097,Trường Đại học Bách khoa - ĐHQG-HCM được thành lập năm nào
59,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,0.7320,Trường Đại học Bách Khoa TP.HCM có bao nhiêu khoa
60,2,Thông tin về cơ cấu và thành lập Đại học Bách Khoa TP.HCM,1.0000,Số lượng khoa và trung tâm đào tạo tại Đại học Bách Khoa TP.HCM
11,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT Cúp Toàn Năng quy định xét Cúp Toàn Năng
20,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,1.0000,Quy định xét Cúp Toàn Năng tại trường HCMUT
23,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,0.3876,HCMUT cúp toàn năng tiêu chuẩn khen thưởng tốt nghiệp
24,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,0.1129,site:hcmut.edu.vn khen thưởng sinh viên tốt nghiệp đại học HCMUT
25,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,1.0000,"HCMUT ""Cúp toàn năng cấp Khoa"" sinh viên tiêu chuẩn xét thưởng"
29,3,Quy định và tiêu chuẩn khen thưởng tại Đại học Bách Khoa TP.HCM,0.1186,quy tắc tổ chức hội đồng tốt nghiệp HCMUT
2,4,Thông tin về địa điểm và khuôn viên Đại học Bách Khoa TP.HCM,1.0000,Hội trường A4 HCMUT vị trí chỉ đường
7,4,Thông tin về địa điểm và khuôn viên Đại học Bách Khoa TP.HCM,1.0000,HCMUT đường từ cửa tòa B4 tới cửa tòa A4
8,4,Thông tin về địa điểm và khuôn viên Đại học Bách Khoa TP.HCM,1.0000,HCMUT chỉ đường từ A2 đến B7
9,4,Thông tin về địa điểm và khuôn viên Đại học Bách Khoa TP.HCM,0.3112,HCMUT chỉ đường cơ sở địa điểm khu vực
0,5,Thông tin về hệ thống học tập và chứng chỉ tại Đại học Bách Khoa TP.HCM,0.3040,HCMUT có văn bằng chứng chỉ không
4,5,Thông tin về hệ thống học tập và chứng chỉ tại Đại học Bách Khoa TP.HCM,1.0000,giới thiệu về trường Đại học Bách Khoa TP.HCM HCMUT
6,5,Thông tin về hệ thống học tập và chứng chỉ tại Đại học Bách Khoa TP.HCM,1.0000,Giới thiệu trường Đại học Bách Khoa TP.HCM HCMUT
17,5,Thông tin về hệ thống học tập và chứng chỉ tại Đại học Bách Khoa TP.HCM,1.0000,site:hcmut.edu.vn JLPT N1 quyền lợi quy định của trường đại học Bách Khoa TP.HCM
19,5,Thông tin về hệ thống học tập và chứng chỉ tại Đại học Bách Khoa TP.HCM,0.0590,site:hcmut.edu.vn LMS giảng viên có cần tải tài liệu lên LMS cho sinh viên không
1,6,Thông tin về sĩ số và mở lớp tại Đại học Bách Khoa TP.HCM,1.0000,"HCMUT ""trường có bao nhiêu file"""
26,6,Thông tin về sĩ số và mở lớp tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT lớp mạng máy tính sĩ số bao nhiêu mới mở lớp
27,6,Thông tin về sĩ số và mở lớp tại Đại học Bách Khoa TP.HCM,0.6303,site:hcmut.edu.vn hóa đại cương sĩ số bao nhiêu mới mở lớp
28,6,Thông tin về sĩ số và mở lớp tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT mạng máy tính sĩ số bao nhiêu mới mở lớp
48,7,Thông tin về khuôn viên và chỉ đường tại Đại học Bách Khoa TP.HCM,0.3808,chỉ đường từ khu A4 đến thư viện Đại học Bách Khoa TP.HCM
56,7,Thông tin về khuôn viên và chỉ đường tại Đại học Bách Khoa TP.HCM,1.0000,chỉ đường từ A4 đến B4 khuôn viên Đại học Bách Khoa TP.HCM
57,7,Thông tin về khuôn viên và chỉ đường tại Đại học Bách Khoa TP.HCM,1.0000,đi từ A3 đến B4 khuôn viên Đại học Bách Khoa TP.HCM
58,7,Thông tin về khuôn viên và chỉ đường tại Đại học Bách Khoa TP.HCM,1.0000,chỉ đường tới tòa nhà A3 Đại học Bách Khoa TP.HCM
43,8,Thông tin về hiệu trưởng và chương trình thạc sĩ tại Đại học Bách Khoa TP.HCM,1.0000,Hiệu trưởng trường Đại học Bách Khoa TP.HCM năm 2010
44,8,Thông tin về hiệu trưởng và chương trình thạc sĩ tại Đại học Bách Khoa TP.HCM,1.0000,Hiệu trưởng trường Đại học Bách Khoa TP.HCM năm 2015
45,8,Thông tin về hiệu trưởng và chương trình thạc sĩ tại Đại học Bách Khoa TP.HCM,1.0000,Hiệu trưởng trường Đại học Bách Khoa TP.HCM năm 2015
52,8,Thông tin về hiệu trưởng và chương trình thạc sĩ tại Đại học Bách Khoa TP.HCM,0.2515,học thạc sỹ tại Đại học Bách Khoa TP.HCM
12,9,Quy định và thủ tục bảo vệ luận văn tại Đại học Bách Khoa TP.HCM,1.0000,site:hcmut.edu.vn giảng viên hướng dẫn có được làm thành viên hội đồng bảo vệ khóa luận tốt nghiệp không
21,9,Quy định và thủ tục bảo vệ luận văn tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT giảng viên hướng dẫn có được làm thành viên hội đồng bảo vệ khóa luận tốt nghiệp không
34,9,Quy định và thủ tục bảo vệ luận văn tại Đại học Bách Khoa TP.HCM,1.0000,luận văn tiến sĩ người hướng dẫn tham gia hội đồng đánh giá
37,10,Thông tin về lịch học và học phí tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT lịch thu học phí học kỳ chính học phí thu theo lịch nào hạn nộp học phí học kỳ I học kỳ II thông báo học phí Trường Đại học Bách Khoa TP.HCM
38,10,Thông tin về lịch học và học phí tại Đại học Bách Khoa TP.HCM,1.0000,HCMUT lịch thu học phí học kỳ chính học phí các học kỳ chính được thu theo lịch nào
40,10,Thông tin về lịch học và học phí tại Đại học Bách Khoa TP.HCM,1.0000,học phần tiên quyết nghĩa là gì định nghĩa học phần tiên quyết
